hour_of_day,avg_steps
7:00:00 pm,528.878147
12:00:00 pm,520.9447791
6:00:00 pm,505.6465257
2:00:00 pm,474.124498
1:00:00 pm,457.8825301
5:00:00 pm,453.6639839
11:00:00 am,452.7452357
4:00:00 pm,447.3668342
10:00:00 am,437.004995
9:00:00 am,430.2584158
8:00:00 pm,399.3178607
3:00:00 pm,390.4693467
8:00:00 am,365.5964392
7:00:00 am,267.1203156
9:00:00 pm,261.0090817
10:00:00 pm,172.9838384
6:00:00 am,120.1643701
11:00:00 pm,102.9018219
12:00:00 am,44.42115573
5:00:00 am,26.11307768
1:00:00 am,20.48481881
2:00:00 am,10.58863859
4:00:00 am,9.75540275
3:00:00 am,7.312070658
